Timestamp,R,G,B,Detected Color
2025-03-17 12:47:53,28,12,39,Licorice
2025-03-17 12:47:54,22,18,35,Dark Jungle Green
2025-03-17 12:47:54,16,10,26,Licorice
2025-03-17 12:47:54,20,17,33,Licorice
2025-03-17 12:47:54,20,14,31,Licorice
2025-03-17 12:47:54,22,16,33,Licorice
2025-03-17 12:47:54,21,15,32,Licorice
2025-03-17 12:47:54,18,14,33,Licorice
2025-03-17 12:47:54,17,16,30,Licorice
2025-03-17 12:47:54,19,12,32,Licorice
2025-03-17 12:47:54,19,13,30,Licorice
2025-03-17 12:47:54,21,15,32,Licorice
2025-03-17 12:47:54,22,13,29,Licorice
2025-03-17 12:47:54,22,16,31,Licorice
2025-03-17 12:47:54,21,15,30,Licorice
2025-03-17 12:47:54,22,17,29,Licorice
2025-03-17 12:47:54,20,14,31,Licorice
2025-03-17 12:47:54,22,14,27,Licorice
2025-03-17 12:47:54,22,13,31,Licorice
2025-03-17 12:47:54,20,14,27,Licorice
2025-03-17 12:47:54,18,6,18,Licorice
2025-03-17 12:47:54,4,0,4,Black
2025-03-17 12:47:54,38,14,8,Zinnwaldite Brown
2025-03-17 12:47:54,83,54,49,Taupe
2025-03-17 12:47:54,122,91,80,Pastel Brown
2025-03-17 12:47:54,145,110,91,Dark Chestnut
2025-03-17 12:47:54,146,111,101,Dark Chestnut
2025-03-17 12:47:54,147,109,97,Dark Chestnut
2025-03-17 12:47:54,143,105,98,Dark Chestnut
2025-03-17 12:47:54,140,107,92,Dark Chestnut
2025-03-17 12:47:54,140,105,93,Dark Chestnut
2025-03-17 12:47:54,146,103,97,Dark Chestnut
2025-03-17 12:47:55,139,105,95,Dark Chestnut
2025-03-17 12:47:55,135,99,89,Pastel Brown
2025-03-17 12:47:55,122,90,84,Pastel Brown
2025-03-17 12:47:55,115,82,76,Medium Taupe
2025-03-17 12:47:55,111,77,73,Medium Taupe
2025-03-17 12:47:55,104,73,64,Rose Ebony
2025-03-17 12:47:55,108,73,56,Coffee
2025-03-17 12:47:55,108,72,64,Deep Coffee
2025-03-17 12:47:55,108,72,64,Deep Coffee
2025-03-17 12:47:55,101,65,55,Deep Coffee
2025-03-17 12:47:55,89,62,61,Purple Taupe
2025-03-17 12:47:55,64,34,41,Bistre
2025-03-17 12:47:55,110,79,68,Medium Taupe
2025-03-17 12:47:55,108,72,71,Rose Ebony
2025-03-17 12:47:55,93,57,49,Taupe
2025-03-17 12:47:55,47,23,35,Seal Brown
2025-03-17 12:47:55,20,6,11,Licorice
2025-03-17 12:47:55,20,5,20,Licorice
2025-03-17 12:47:55,22,7,24,Licorice
2025-03-17 12:47:55,22,7,24,Licorice
2025-03-17 12:47:55,28,11,19,Licorice
2025-03-17 12:47:55,30,13,28,Licorice
2025-03-17 12:47:55,62,27,39,Bistre
2025-03-17 12:47:55,123,92,85,Pastel Brown
2025-03-17 12:47:55,149,117,111,Bazaar
2025-03-17 12:47:55,158,125,117,Beaver
2025-03-17 12:47:55,171,134,122,Beaver
2025-03-17 12:47:55,174,140,130,Grullo
2025-03-17 12:47:55,178,141,131,Rosy Brown
2025-03-17 12:47:55,178,141,131,Rosy Brown
2025-03-17 12:47:55,181,145,138,Rosy Brown
2025-03-17 12:47:56,181,145,140,Rosy Brown
2025-03-17 12:47:56,182,147,139,Rosy Brown
2025-03-17 12:47:56,181,145,144,Rosy Brown
2025-03-17 12:47:56,177,141,133,Rosy Brown
2025-03-17 12:47:56,180,137,133,Rosy Brown
2025-03-17 12:47:56,174,139,129,Grullo
2025-03-17 12:47:56,185,140,130,Rosy Brown
2025-03-17 12:47:56,182,139,133,Rosy Brown
2025-03-17 12:47:56,185,143,137,Rosy Brown
2025-03-17 12:47:56,185,143,137,Rosy Brown
2025-03-17 12:47:56,187,142,134,Rosy Brown
